comments,rank,score,age,title_length
25.0,1.0,143,4.0,41
511.0,2.0,1093,9.0,13
219.0,3.0,372,7.0,32
22.0,4.0,96,7.0,39
10.0,5.0,25,2.0,22
32.0,6.0,77,8.0,49
169.0,7.0,328,9.0,77
34.0,8.0,93,9.0,38
49.0,9.0,205,8.0,35
32.0,10.0,146,4.0,38
21.0,11.0,77,8.0,31
NA,12.0,0,0.7333333333333333,23
304.0,13.0,165,9.0,48
141.0,14.0,196,8.0,56
56.0,15.0,132,13.0,61
3.0,16.0,28,5.0,60
501.0,17.0,345,8.0,29
28.0,18.0,80,6.0,32
8.0,19.0,62,9.0,21
7.0,20.0,57,7.0,42
2.0,21.0,7,3.0,47
14.0,22.0,75,6.0,56
7.0,23.0,51,11.0,47
22.0,24.0,107,6.0,9
54.0,25.0,61,1.0,62
11.0,26.0,32,7.0,62
73.0,27.0,300,12.0,72
246.0,28.0,263,10.0,39
NA,29.0,5,0.5666666666666667,76
194.0,30.0,694,1.0,68
8.0,31.0,24,7.0,20
39.0,32.0,281,17.0,70
59.0,33.0,83,7.0,70
NA,34.0,6,1.0,56
96.0,35.0,75,9.0,56
30.0,36.0,72,9.0,36
1.0,37.0,14,9.0,59
138.0,38.0,239,10.0,31
22.0,39.0,136,11.0,64
2.0,40.0,10,2.0,54
NA,41.0,3,0.8333333333333334,68
NA,42.0,11,2.0,76
2.0,43.0,12,9.0,18
19.0,44.0,51,8.0,57
1.0,45.0,10,7.0,32
NA,46.0,3,1.0,28
37.0,47.0,41,10.0,46
2.0,48.0,17,12.0,30
159.0,49.0,430,1.0,55
NA,50.0,8,1.0,66
3.0,51.0,27,6.0,71
NA,52.0,9,3.0,70
46.0,53.0,244,22.0,17
3.0,54.0,12,11.0,72
107.0,55.0,349,1.0,38
NA,56.0,6,2.0,58
26.0,57.0,35,9.0,75
39.0,58.0,205,15.0,66
109.0,59.0,381,1.0,23
101.0,60.0,102,12.0,61
123.0,61.0,229,1.0,38
NA,62.0,25,10.0,18
1.0,63.0,8,2.0,37
167.0,64.0,338,1.0,37
1.0,65.0,22,8.0,46
196.0,66.0,247,17.0,29
6.0,67.0,23,6.0,20
42.0,68.0,127,23.0,18
179.0,69.0,309,1.0,28
40.0,70.0,67,12.0,54
67.0,71.0,686,48.0,39
59.0,72.0,49,10.0,64
14.0,73.0,42,7.0,72
31.0,74.0,231,NA,59
NA,75.0,5,5.0,71
30.0,76.0,483,1.0,35
62.0,77.0,117,1.0,31
63.0,78.0,217,1.0,59
132.0,79.0,445,48.0,56
4.0,80.0,10,8.0,70
2.0,81.0,34,1.0,40
18.0,82.0,153,1.0,75
52.0,83.0,138,1.0,43
137.0,84.0,258,48.0,27
449.0,85.0,1713,1.0,41
66.0,86.0,159,1.0,44
6.0,87.0,86,1.0,74
25.0,88.0,196,48.0,37
72.0,89.0,150,1.0,64
14.0,90.0,113,1.0,18
32.0,91.0,62,1.0,71
96.0,92.0,392,18.0,51
128.0,93.0,105,1.0,43
132.0,94.0,305,1.0,37
20.0,95.0,79,1.0,54
4.0,96.0,27,1.0,35
NA,97.0,7,7.0,50
36.0,98.0,56,1.0,72
67.0,99.0,117,1.0,34
NA,100.0,6,8.0,61
47.0,101.0,104,1.0,19
64.0,102.0,140,48.0,32
115.0,103.0,106,1.0,74
22.0,104.0,166,1.0,25
5.0,105.0,90,48.0,21
8.0,106.0,31,1.0,52
33.0,107.0,98,1.0,28
NA,108.0,3,6.0,23
101.0,109.0,224,48.0,69
269.0,110.0,246,1.0,56
19.0,111.0,114,1.0,53
40.0,112.0,152,1.0,57
109.0,113.0,107,1.0,57
NA,114.0,6,8.0,69
93.0,115.0,295,1.0,71
7.0,116.0,190,48.0,40
51.0,117.0,213,16.0,80
21.0,118.0,35,NA,76
59.0,119.0,165,1.0,77
98.0,120.0,235,48.0,29
13.0,121.0,63,1.0,56
4.0,122.0,18,1.0,73
15.0,123.0,27,1.0,68
538.0,124.0,507,NA,73
8.0,125.0,7,NA,53
85.0,126.0,72,15.0,18
7.0,127.0,46,48.0,47
23.0,128.0,82,1.0,29
65.0,129.0,193,48.0,52
1.0,130.0,38,1.0,33
39.0,131.0,191,48.0,32
1.0,132.0,7,9.0,45
164.0,133.0,119,20.0,32
7.0,134.0,20,1.0,69
102.0,135.0,159,48.0,41
119.0,136.0,373,72.0,18
22.0,137.0,55,1.0,40
6.0,138.0,42,1.0,60
6.0,139.0,8,9.0,23
9.0,140.0,98,48.0,74
9.0,141.0,83,17.0,37
2.0,142.0,21,1.0,77
317.0,143.0,397,72.0,28
55.0,144.0,91,48.0,20
44.0,145.0,65,1.0,40
76.0,146.0,217,48.0,31
38.0,147.0,157,48.0,58
11.0,148.0,45,48.0,71
85.0,149.0,112,1.0,72
13.0,150.0,36,48.0,71
